Назва банку,Статутний капітал ,Емісійні різниці ,Незареєстровані внески до статутного капіталу,Нерозподілений прибуток (непокритий збиток),Резервні та інші фонди банку,Резерви переоцінки,Усього власного капіталу ,Усього зобов'язань та власного капіталу
ФОРТУНА-БАНК,265000,0,0,5584,43901,158743,473227,2923185
БАНК ПЕРШИЙ,265000,0,0,1103,15811,15119,297033,2893811
ІДЕЯ БАНК,180500,44890,13294,10111,55544,33124,337462,2866522
ТАСКОМБАНК,220000,11,0,91112,3373,25397,339893,2692365
БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,250000,0,0,2448,34388,0,286836,2688102
БМ БАНК,776397,0,0,-513864,5383,-3,267914,2676783
IНДУСТРІАЛБАНК,607798,8022,0,38257,138890,6284,799250,2622932
БАНК КІПРУ,700644,41,0,-28145,52738,11991,737268,2600521
МАРФІН БАНК ,435000,80212,0,1000,81381,28902,626495,2530838
ПІРЕУС БАНК МКБ,1627792,0,0,-1284922,50285,17248,410403,2517559
ПРОКРЕДИТ БАНК,298333,778,0,36282,0,0,335394,2485130
ЕКСПРЕС-БАНК,248768,0,0,77402,82976,47878,457023,2465751
БАНК КАМБІО,174428,0,0,660,696,27173,202957,2315562
БАНК НАЦІОНАЛЬНИЙ КРЕДИТ,171961,54132,0,-112150,39233,0,153176,2243064
БАНК ДЕМАРК,176000,393,30000,1125,32851,5871,246241,2227393
ВІЕС БАНК,420000,42864,0,-33459,28757,81807,539969,2217625
АКЦЕНТ-БАНК,125560,41,0,40149,30602,2019,198371,2147393
ЕНЕРГОБАНК,359037,33,0,-108132,28209,25429,304575,2142853
"""КИЇВ""",3567544,847,0,-3461794,370413,310783,787794,2119143
"""КАПІТАЛ""",194079,1049,0,-9108,6718,363,193102,2098390
"""АРКАДА""",220445,13,0,44117,46155,0,310730,2095933
ФІНРОСТБАНК,127000,0,0,2610,11622,0,141232,1995065
БАНК МЕРКУРІЙ,141500,0,11006,6452,13224,61942,234124,1972933
ЮНЕКС БАНК,292000,4161,0,13813,1305,32573,343853,1901009
ДОЙЧЕ БАНК ДБУ,228666,0,0,-13340,3682,-209,218799,1849616
РАДИКАЛ БАНК,120000,0,0,31629,109,-2177,149562,1827659
